Date,Open,High,Low,Close,Adj Close,Volume,Day 
2020-08-17,301.850006,304.179993,301.160004,302.75,292.612122,309500,1628
2020-08-18,304.470001,304.690002,300.290009,301.149994,291.065674,340100,1629
2020-08-19,301.519989,302.070007,298.529999,299.440002,289.412994,399200,1630
2020-08-20,296,298.149994,294.570007,296.779999,286.842041,633100,1631
2020-08-21,296.200012,299.019989,295.070007,298.790009,288.784698,413100,1632
2020-08-24,302.25,302.980011,299.540009,301.899994,291.790497,347900,1633
2020-08-25,302.5,305.070007,301.890015,304.829987,294.622467,363300,1634
2020-08-26,305.519989,306.899994,304.25,305.809998,295.569672,339900,1635
2020-08-27,307.149994,307.149994,300.410004,302.329987,292.206207,553400,1636
2020-08-28,302.700012,308.029999,302.170013,307.910004,297.599365,570400,1637
2020-08-31,307.700012,309.799988,305.25,307.220001,296.932465,337800,1638
2020-09-01,309.679993,313.529999,308.070007,313.320007,302.828217,471400,1639
2020-09-02,318.26001,324.26001,315.220001,322.399994,311.604126,990600,1640
2020-09-03,317.220001,317.929993,302.299988,304.420013,294.226257,1307000,1641
2020-09-04,302.390015,306.450012,290.519989,301.26001,291.172058,1155600,1642
2020-09-08,290.440002,295.769989,286.76001,287.179993,277.563477,1012000,1643
2020-09-09,294.459991,297.459991,290.589996,295,285.121582,638200,1644
2020-09-10,298.98999,299.869995,289.290009,291,281.255646,638000,1645
2020-09-11,293.029999,296.059998,287.75,290.920013,281.178284,508100,1646
2020-09-14,296.75,298.600006,294.459991,296.73999,286.803314,385200,1647
2020-09-15,300.799988,303.940002,300.279999,301.859985,291.751953,419900,1648
2020-09-16,304.029999,304.390015,298.570007,299.029999,289.016724,405800,1649
2020-09-17,291.410004,299.359985,290.390015,298.880005,288.871704,571600,1650
2020-09-18,300.25,301.01001,290.369995,294.200012,284.348389,403600,1651
2020-09-21,288.660004,293.670013,286.179993,293.670013,283.836182,777200,1652
2020-09-22,295.549988,297.109985,290.399994,296.700012,286.76474,365400,1653
2020-09-23,295.709991,297.299988,287.73999,288.809998,280.148315,632000,1654
2020-09-24,286.420013,295.299988,286.209991,291.25,282.515167,783500,1655
2020-09-25,291.76001,296.179993,287.390015,295.25,286.395142,538100,1656
2020-09-28,299.440002,303.679993,297.5,303.380005,294.281342,612000,1657
2020-09-29,303.640015,306.940002,303.179993,304.089996,294.970001,638500,1658
2020-09-30,303.890015,307.609985,302.829987,304.609985,295.474426,649200,1659
2020-10-01,308.75,311.720001,307.329987,311.130005,301.79892,681800,1660
2020-10-02,303.089996,308.089996,301.380005,301.799988,292.748688,669500,1661
2020-10-05,304.549988,311.51001,304.140015,311.230011,301.895905,513400,1662
2020-10-06,311.480011,317.209991,308.480011,309.75,300.460266,629600,1663
2020-10-07,314.160004,316.649994,314.109985,315.679993,306.212433,416400,1664
2020-10-08,318.570007,320.23999,317.570007,319.589996,310.005219,326600,1665
2020-10-09,324.209991,326.119995,322.980011,325.209991,315.456604,655800,1666
2020-10-12,329.51001,331.730011,327.869995,330.040009,320.141754,530500,1667
2020-10-13,330.600006,332.26001,327.959991,329.450012,319.569458,766300,1668
2020-10-14,330.820007,331.829987,326.25,328.119995,318.279297,520800,1669
2020-10-15,322,327.880005,321.329987,327.23999,317.425751,402400,1670
2020-10-16,329.5,330.100006,325.420013,325.679993,315.912506,288600,1671
2020-10-19,328.350006,330.290009,322.799988,324.040009,314.321747,402900,1672
2020-10-20,325.5,326.380005,322.75,323.51001,313.807587,349600,1673
2020-10-21,324.279999,324.929993,321.079987,321.339996,311.702667,358100,1674
2020-10-22,321.73999,323.140015,317.570007,321.470001,311.828766,301700,1675
2020-10-23,320.23999,320.339996,317.309998,320.339996,310.732727,262000,1676
2020-10-26,317.600006,318.73999,309.309998,313.399994,304.000793,557100,1677
2020-10-27,315.570007,316.339996,311.089996,312.170013,302.80777,296700,1678
2020-10-28,307.25,307.25,301.450012,301.950012,292.894226,493700,1679
2020-10-29,302,312.839996,301.579987,309.609985,300.324463,501500,1680
2020-10-30,306.339996,308.339996,301.440002,305.480011,296.318359,445700,1681
2020-11-02,308.339996,309.75,303.940002,306.570007,297.375671,485400,1682
2020-11-03,309.269989,315,309.209991,312.350006,302.982269,461700,1683
2020-11-04,319.01001,324.950012,315.200012,323.269989,313.574799,1008900,1684
2020-11-05,332.609985,338.630005,332.309998,337.790009,327.659363,936200,1685
2020-11-06,336.98999,344.549988,335.899994,343.299988,333.004089,672000,1686
2020-11-09,352.519989,353.769989,339.279999,339.299988,329.124023,640300,1687
2020-11-10,336.26001,337.700012,328.269989,329.119995,319.24939,620700,1688
2020-11-11,334.200012,341.579987,334.170013,340.980011,330.753693,556800,1689
2020-11-12,341.519989,342.329987,334.980011,336.769989,326.669891,401200,1690
2020-11-13,340.779999,343.73999,338.459991,340.899994,330.676056,356900,1691
2020-11-16,343.690002,349.380005,342.75,349.380005,338.901764,485400,1692
2020-11-17,348.140015,348.23999,343.929993,346.5,336.108093,457200,1693
2020-11-18,347.109985,349.5,343.700012,343.920013,333.605499,453700,1694
2020-11-19,342.690002,349.329987,341.119995,349,338.533142,352100,1695
2020-11-20,349.119995,352.070007,346.959991,347.369995,336.951935,456500,1696
2020-11-23,348.920013,353.549988,347.799988,352.320007,341.753571,458300,1697
2020-11-24,354.850006,354.869995,348.779999,354.23999,343.615967,608200,1698
2020-11-25,354.76001,356.179993,352,353.459991,342.859406,324700,1699
2020-11-27,355.700012,359.76001,355.700012,357.670013,346.943085,571100,1700
2020-11-30,358.269989,362.230011,353.73999,361.809998,350.958984,624700,1701
2020-12-01,365,370.109985,363.809998,367.779999,356.749878,668400,1702
2020-12-02,366.75,370.679993,366.380005,368.859985,357.797577,713800,1703
2020-12-03,371,373.170013,368.839996,369.339996,358.263092,365600,1704
2020-12-04,371,379.640015,370.410004,379.410004,368.031128,541500,1705
2020-12-07,381.559998,381.600006,377.700012,381.329987,369.893463,552600,1706
2020-12-08,381.059998,384.049988,379.190002,382.559998,371.086639,401000,1707
2020-12-09,381.109985,383.649994,369.519989,371.779999,360.629913,649800,1708
2020-12-10,368.600006,374.450012,367.359985,371.26001,360.125549,655800,1709
2020-12-11,368.630005,370.230011,363.609985,367.649994,356.623779,535300,1710
2020-12-14,370.320007,373.23999,369.5,371,360.606018,437800,1711
2020-12-15,376,377.420013,373.529999,376.170013,365.631195,367500,1712
2020-12-16,377.940002,377.940002,373.410004,376.390015,365.844971,447500,1713
2020-12-17,378.859985,378.859985,375.429993,377.079987,366.515656,413400,1714
2020-12-18,377.579987,378.279999,372.890015,374.839996,364.33844,386700,1715
2020-12-21,370.100006,373.48999,366.970001,373.170013,362.715179,599900,1716
2020-12-22,373.26001,373.5,369.51001,372.619995,362.180634,222900,1717
2020-12-23,373.23999,373.850006,369.5,369.820007,359.459076,419000,1718
2020-12-24,371.790009,373.290009,370.670013,373.119995,362.666565,191400,1719
2020-12-28,377.5,377.700012,372.160004,372.709991,362.268036,369500,1720
2020-12-29,374.630005,374.630005,367.630005,371.75,361.335022,444900,1721
2020-12-30,373.809998,378.609985,373.459991,377.980011,367.390503,386600,1722
2020-12-31,378.369995,379.769989,375.619995,379.179993,368.556854,397700,1723
2021-01-04,381.640015,389.779999,374.859985,377.589996,367.011414,829200,1724
2021-01-05,377.290009,385.309998,377,385.309998,374.515106,556900,1725
2021-01-06,381.100006,391.609985,380.570007,384.059998,373.30011,1071700,1726
2021-01-07,389.679993,399.529999,389.679993,398.549988,387.384155,603000,1727
2021-01-08,404.26001,406.109985,394.079987,398.76001,387.588287,706600,1728
2021-01-11,395.299988,405.98999,395,402.799988,391.515045,542500,1729
2021-01-12,405.390015,409.160004,401.709991,405.23999,393.886719,1501300,1730
2021-01-13,408.98999,409.880005,404.309998,405.899994,394.528259,400000,1731
2021-01-14,410.940002,419.26001,410.940002,414.5,402.88736,582800,1732
2021-01-15,414.040009,414.5,403.73999,406.070007,394.693481,801300,1733
2021-01-19,412.75,420.279999,411.779999,420,408.233215,839000,1734
2021-01-20,424.559998,425.98999,417.519989,418.5,406.775299,617000,1735
2021-01-21,422.470001,426.25,418.119995,424.549988,412.655762,846800,1736
2021-01-22,421.100006,422.920013,417.130005,417.350006,405.65744,556100,1737
2021-01-25,420.839996,421.920013,409.899994,417.950012,406.240662,561100,1738
2021-01-26,418.179993,418.179993,411.119995,411.160004,399.640869,408300,1739
2021-01-27,404,404.049988,388.230011,389.820007,378.898804,1797100,1740
2021-01-28,397.670013,404.089996,394.540009,398.369995,387.209198,1123300,1741
2021-01-29,399.709991,401.140015,390.119995,391.420013,380.453918,920600,1742
2021-02-01,398.089996,408.119995,396.769989,406.880005,395.480835,641100,1743
2021-02-02,413.670013,414,407.899994,413.480011,401.895905,809800,1744
2021-02-03,415.059998,416.25,404,405.079987,393.731201,922600,1745
2021-02-04,403.799988,408.720001,400.959991,408.399994,396.958191,610800,1746
2021-02-05,411.450012,411.450012,405,405.609985,394.246277,487600,1747
2021-02-08,408.339996,418.089996,408.320007,417.779999,406.075348,649100,1748
2021-02-09,416.570007,419.48999,414.230011,416.549988,404.879913,461100,1749
2021-02-10,420,422.190002,412.01001,417.369995,405.67691,740100,1750
2021-02-11,420.820007,432.130005,420.820007,431.820007,419.722076,704200,1751
2021-02-12,430.549988,438.01001,428.350006,437.160004,424.912445,641700,1752
2021-02-16,442.369995,443.970001,437.480011,439.359985,427.050812,1050800,1753
2021-02-17,435.589996,437.200012,425.910004,431.829987,419.731781,928400,1754
2021-02-18,426.470001,429.369995,422.040009,427.390015,415.416199,749200,1755
2021-02-19,433.869995,440.290009,432.980011,437.690002,425.427612,751500,1756
2021-02-22,432,435.040009,420.350006,421.829987,410.011963,884000,1757
2021-02-23,414.079987,421.820007,402.079987,418.660004,406.930817,1343100,1758
2021-02-24,416.049988,432.700012,412.299988,432.23999,420.13028,1048300,1759
2021-02-25,427.200012,430.029999,405.929993,407.619995,396.200073,1779900,1760
2021-02-26,414.299988,420.76001,406.049988,416.910004,405.229767,1519600,1761
2021-03-01,423.230011,430.649994,420.019989,430.200012,418.147491,772200,1762
2021-03-02,431.940002,431.940002,416.829987,417.299988,405.608887,1059200,1763
2021-03-03,417.73999,418.640015,400.73999,404.529999,393.196594,1475300,1764
2021-03-04,403.220001,405.119995,379.350006,385.059998,374.272156,2414500,1765
2021-03-05,393.920013,397.950012,375.549988,396.609985,385.498505,2102600,1766
2021-03-08,396.100006,397.709991,375.059998,375.209991,364.69809,2449700,1767
2021-03-09,388.799988,401.200012,387.649994,398.519989,387.35498,1377600,1768
2021-03-10,405.390015,405.519989,391,391,380.045685,1360800,1769
2021-03-11,402.630005,409.779999,400.51001,407.459991,396.044525,1229800,1770
2021-03-12,400,403.899994,397.119995,403.160004,391.865021,1051200,1771
2021-03-15,405.320007,412.220001,402.380005,411.660004,400.126892,1298300,1772
2021-03-16,416.529999,423.600006,414.549988,416.980011,405.297821,2261700,1773
2021-03-17,411.220001,425.540009,408.100006,422.230011,410.400787,1924600,1774
2021-03-18,416.359985,417.179993,404.290009,404.76001,393.420227,2014300,1775
2021-03-19,405.570007,413.380005,400.399994,409.76001,398.280151,2204700,1776
2021-03-22,414.790009,423.329987,413.220001,418.429993,406.707153,1043400,1777
2021-03-23,420.049988,420.790009,405.549988,407.429993,396.01535,1879600,1778
2021-03-24,414.209991,415.890015,401.649994,401.839996,390.58197,2202700,1779
2021-03-25,394.890015,403.459991,390.820007,401.51001,390.996887,1860000,1780
2021-03-26,401.820007,422.100006,401.549988,421.329987,410.297882,2164600,1781
2021-03-29,417.390015,418.98999,409.899994,414.869995,404.006989,2180200,1782
2021-03-30,411.600006,414.75,408.98999,413.880005,403.042877,1421200,1783
2021-03-31,417.790009,427.200012,416.970001,423.98999,412.888214,1989400,1784
2021-04-01,431.369995,439.829987,431.209991,439.579987,428.069946,2460000,1785
2021-04-05,446.809998,449.76001,441.459991,448.450012,436.707764,2168000,1786
2021-04-06,445.809998,448.559998,439.029999,443.440002,431.828979,1971000,1787
2021-04-07,443.899994,445.420013,439.790009,443.149994,431.546539,1098800,1788
2021-04-08,447.910004,448.709991,444.100006,448.200012,436.464355,1425500,1789
2021-04-09,444.570007,447.23999,442.700012,446.799988,435.100952,822000,1790
2021-04-12,444.459991,444.459991,438.200012,442,430.426666,869300,1791
